Player;Federation;Opponent;Stage;Matchday;Match Number;Minutes Played;Game Started;Substitute;Goals;Man of the Match;Date of Birth;Boot Brand;Boot Type;Boot Colour;Boot Version;Notes;ID Opta;Opta Position;Squad Number;Match Length;Exact Time
Akaydin, Samet;Türkiye;Georgia;Group Stage;1;11;90;1;0;0;0;1994-03-13;Nike;Mercurial Superfly IX Elite;White/Bright Crimson/Black;New;;245333;Defender;4;99;99
Yilmaz, Baris Alper;Türkiye;Georgia;Group Stage;1;11;90;1;0;0;0;2000-05-23;Nike;Mercurial Superfly IX Elite;Pink Foam/Black;New;;514355;Forward;21;99;99
Özcan, Salih;Türkiye;Georgia;Group Stage;1;11;1;0;1;0;0;1998-01-11;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;204581;Midfielder;15;99;7
Demiral, Merih;Türkiye;Georgia;Group Stage;1;11;11;0;1;0;0;1998-03-05;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;439128;Defender;3;99;19
Yildiz, Kenan;Türkiye;Georgia;Group Stage;1;11;85;1;0;0;0;2005-05-04;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;547103;Midfielder;19;99;86
Yazici, Yusuf;Türkiye;Georgia;Group Stage;1;11;11;0;1;0;0;1997-01-29;Nike;Mercurial Vapor XIV Elite;Chlorine Blue/Laser Orange/Marina;New;Shoe logo removed;220734;Forward;11;99;20
Güler, Arda;Türkiye;Georgia;Group Stage;1;11;79;1;0;1;1;2005-02-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;520250;Midfielder;8;99;80
Çelik, Zeki;Türkiye;Georgia;Group Stage;1;11;5;0;1;0;0;1997-02-17;adidas;X Crazyfast.1;Solar Red/White/Team Solar Yellow;New;Laceless;171435;Defender;2;99;13
Müldür, Mert;Türkiye;Georgia;Group Stage;1;11;85;1;0;1;0;1999-04-03;Nike;Mercurial Vapor XV Elite;White/Baltic Blue/Pink Blast/Indigo Haze;New;;224990;Defender;18;99;86
Ayhan, Kaan;Türkiye;Georgia;Group Stage;1;11;79;1;0;0;0;1994-11-10;Nike;Mercurial Superfly IX Elite;Pink Foam/Black;New;;159522;Midfielder;22;99;80
Çalhanoglu, Hakan;Türkiye;Georgia;Group Stage;1;11;89;1;0;0;0;1994-02-08;Nike;Mercurial Superfly IX Elite;Pink Foam/Black;New;;111732;Midfielder;10;99;93
Günok, Mert;Türkiye;Georgia;Group Stage;1;11;90;1;0;0;0;1989-03-01;Puma;King Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;56077;Goalkeeper;1;99;99
Aktürkoglu, Kerem;Türkiye;Georgia;Group Stage;1;11;5;0;1;1;0;1998-10-21;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;498572;Forward;7;99;13
Bardakci, Abdülkerim;Türkiye;Georgia;Group Stage;1;11;90;1;0;0;0;1994-09-07;Nike;Mercurial Vapor XI;Total Crimson/Volt/Pink Blast;Old;;166050;Defender;14;99;99
Kadioglu, Ferdi;Türkiye;Georgia;Group Stage;1;11;90;1;0;0;0;1999-10-07;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;231416;Defender;20;99;99
Kvaratskhelia, Khvicha;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;2001-02-12;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;440668;Forward;7;99;99
Davitashvili, Zuriko;Georgia;Türkiye;Group Stage;1;11;17;0;1;0;0;2001-02-15;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;449017;Forward;9;99;25
Kakabadze, Otar;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;1995-06-27;Nike;Phantom GT II Elite;Glacier Ice/Black/Yellow Strike;New;;196258;Midfielder;2;99;99
Zivzivadze, Budu;Georgia;Türkiye;Group Stage;1;11;5;0;1;0;0;1994-03-10;adidas;X Crazyfast+;Solar Red/White/Team Solar Yellow;New;;196243;Forward;8;99;14
Chakvetadze, Giorgi;Georgia;Türkiye;Group Stage;1;11;73;1;0;0;0;1999-08-29;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;240990;Midfielder;10;99;75
Dvali, Lasha;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;1995-05-14;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;184375;Defender;3;99;99
Tsitaishvili, Giorgi;Georgia;Türkiye;Group Stage;1;11;74;1;0;0;0;2000-11-18;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;451017;Midfielder;21;99;75
Kashia, Guram;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;1987-07-04;adidas;X Crazyfast.1;White/Core Black/Lucid Lemon;New;;57304;Defender;4;99;99
Mikautadze, Georges;Georgia;Türkiye;Group Stage;1;11;90;1;0;1;0;2000-10-31;Nike;Mercurial Superfly IX Elite;Sail/Racer Blue;New;;499209;Forward;22;99;99
Kverkvelia, Solomon;Georgia;Türkiye;Group Stage;1;11;85;1;0;0;0;1992-02-06;Nike;Tiempo Legend X Elite;White/Black/Bright Crimson;New;;100531;Defender;5;99;86
Mamardashvili, Giorgi;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;2000-09-29;Nike;Tiempo Legend X Elite;White/Black/Bright Crimson;New;;449027;Goalkeeper;25;99;99
Kochorashvili, Giorgi;Georgia;Türkiye;Group Stage;1;11;90;1;0;0;0;1999-06-29;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;428798;Midfielder;6;99;99
Mekvabishvili, Anzor;Georgia;Türkiye;Group Stage;1;11;89;1;0;0;0;2001-06-05;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;507365;Midfielder;20;99;90
Altunashvili, Sandro;Georgia;Türkiye;Group Stage;1;11;1;0;1;0;0;1997-05-19;adidas;Predator Elite;Team Solar Yellow/Core Black/Solar Red;New;;219016;Midfielder;18;99;10
Lochoshvili, Luka;Georgia;Türkiye;Group Stage;1;11;16;0;1;0;0;1998-05-29;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;211265;Defender;14;99;25
Francisco Conceição;Portugal;Czechia;Group Stage;1;12;1;0;1;1;0;2002-12-14;adidas;X Crazyfast+;Team Solar Yellow/Core Black/White;New;;465630;Forward;26;96;6
Diogo Costa;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1999-09-19;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;216050;Goalkeeper;22;96;96
Bernardo Silva;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1994-08-10;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;165809;Forward;10;96;96
Rafael Leão;Portugal;Czechia;Group Stage;1;12;63;1;0;0;0;1999-06-10;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;216065;Forward;17;96;64
Cristiano Ronaldo;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1985-02-05;Nike;Mercurial Superfly IX Elite;Green Strike/Black/Stadium Green;New;;14937;Forward;7;96;96
Nuno Mendes;Portugal;Czechia;Group Stage;1;12;89;1;0;0;0;2002-06-19;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;465206;Defender;19;96;91
Vitinha;Portugal;Czechia;Group Stage;1;12;89;1;0;0;1;2000-02-13;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;Shoe lace removed;437858;Midfielder;23;96;91
Pepe;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1983-02-26;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;18522;Defender;3;96;96
Bruno Fernandes;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1994-09-08;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;141746;Midfielder;8;96;96
Diogo Jota;Portugal;Czechia;Group Stage;1;12;27;0;1;0;0;1996-12-04;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;194634;Forward;21;96;33
João Cancelo;Portugal;Czechia;Group Stage;1;12;89;1;0;0;0;1994-05-27;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;121145;Midfielder;20;96;91
Rúben Dias;Portugal;Czechia;Group Stage;1;12;90;1;0;0;0;1997-05-14;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;171314;Defender;4;96;96
Diogo Dalot;Portugal;Czechia;Group Stage;1;12;63;1;0;0;0;1999-03-18;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;216051;Midfielder;5;96;64
Gonçalo Inácio;Portugal;Czechia;Group Stage;1;12;27;0;1;0;0;2001-08-25;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;509111;Defender;14;96;33
Pedro Neto;Portugal;Czechia;Group Stage;1;12;1;0;1;0;0;2000-03-09;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;247632;Forward;25;96;6
Nélson Semedo;Portugal;Czechia;Group Stage;1;12;1;0;1;0;0;1993-11-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;200402;Defender;2;96;6
Barák, Antonín;Czechia;Portugal;Group Stage;1;12;11;0;1;0;0;1994-12-03;Pantofola d'Oro;Superleggera 2.0;White/Black/Gold;New;Customised the boot;218784;Midfielder;7;96;17
Kuchta, Jan;Czechia;Portugal;Group Stage;1;12;60;1;0;0;0;1997-01-08;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;240529;Forward;11;96;61
Provod, Lukás;Czechia;Portugal;Group Stage;1;12;79;1;0;1;0;1996-10-23;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;486374;Midfielder;14;96;80
Krejcí, Ladislav;Czechia;Portugal;Group Stage;1;12;90;1;0;0;0;1999-04-20;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;431248;Defender;18;96;96
Holes, Tomás;Czechia;Portugal;Group Stage;1;12;89;1;0;0;0;1993-03-31;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;Shoe lace removed;122689;Defender;3;96;94
Soucek, Tomás;Czechia;Portugal;Group Stage;1;12;90;1;0;0;0;1995-02-27;adidas;X Crazyfast.1;Solar Red/White/Team Solar Yellow;New;;215439;Midfielder;22;96;96
Lingr, Ondrej;Czechia;Portugal;Group Stage;1;12;30;0;1;0;0;1998-10-07;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;195726;Midfielder;20;96;36
Doudera, David;Czechia;Portugal;Group Stage;1;12;90;1;0;0;0;1998-05-31;Nike;Mercurial Superfly IX Elite;Lemonade/Black;New;;446467;Midfielder;12;96;96
Coufal, Vladimír;Czechia;Portugal;Group Stage;1;12;90;1;0;0;0;1992-08-22;Puma;Future 7 Ultimate;Puma White/Puma Black/Poison Pink;New;;164555;Midfielder;5;96;96
Sulc, Pavel;Czechia;Portugal;Group Stage;1;12;79;1;0;0;0;2000-12-29;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;465954;Midfielder;25;96;80
Hranác, Robin;Czechia;Portugal;Group Stage;1;12;90;1;0;OG;0;2000-01-29;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;465953;Defender;4;96;96
Sevcík, Petr;Czechia;Portugal;Group Stage;1;12;11;0;1;0;0;1994-05-04;adidas;Copa Pure 2+;Shadow Red/White/Team Solar Yellow;New;;225441;Midfielder;8;96;17
Chory, Tomás;Czechia;Portugal;Group Stage;1;12;1;0;1;0;0;1995-01-26;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;185389;Forward;19;96;3
Schick, Patrik;Czechia;Portugal;Group Stage;1;12;61;1;0;0;0;1996-01-24;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;196680;Forward;10;96;62
Stanek, Jindrich;Czechia;Portugal;Group Stage;1;12;90;1;0;0;0;1996-04-27;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;179100;Goalkeeper;1;96;96
Chytil, Mojmír;Czechia;Portugal;Group Stage;1;12;29;0;1;0;0;1999-04-29;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;472175;Forward;13;96;35
Robertson, Andy;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1994-03-11;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;122798;Midfielder;3;98;98
Christie, Ryan;Scotland;Switzerland;Group Stage;2;13;1;0;1;0;0;1995-02-22;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;158499;Midfielder;11;98;5
Shankland, Lawrence;Scotland;Switzerland;Group Stage;2;13;1;0;1;0;0;1995-08-10;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;116084;Forward;9;98;5
McKenna, Scott;Scotland;Switzerland;Group Stage;2;13;29;0;1;0;0;1996-11-12;adidas;Predator Elite;Team Solar Yellow/Core Black/Solar Red;New;;168281;Defender;26;98;34
Gunn, Angus;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1996-01-22;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;107265;Goalkeeper;1;98;98
McGinn, John;Scotland;Switzerland;Group Stage;2;13;89;1;0;0;0;1994-10-18;Nike;Phantom GX II Elite;White/Black/Metallic Gold Coin;New;;122806;Forward;7;98;93
McTominay, Scott;Scotland;Switzerland;Group Stage;2;13;90;1;0;1;0;1996-12-08;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;195851;Forward;4;98;98
Ralston, Anthony;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1998-11-16;adidas;X Crazyfast.1;Team Solar Yellow/Core Black/White;New;;215372;Midfielder;2;98;98
Hanley, Grant;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1991-11-20;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;83428;Defender;5;98;98
McLean, Kenny;Scotland;Switzerland;Group Stage;2;13;11;0;1;0;0;1992-01-08;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;78607;Midfielder;23;98;16
McGregor, Callum;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1993-06-14;Nike;Tiempo Legend X Elite;White/Black/Bright Crimson;New;;107695;Midfielder;8;98;98
Hendry, Jack;Scotland;Switzerland;Group Stage;2;13;90;1;0;0;0;1995-05-07;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;194203;Defender;13;98;98
Gilmour, Billy;Scotland;Switzerland;Group Stage;2;13;79;1;0;0;0;2001-06-11;adidas;Predator Elite Tongue;Lucid Blue/Ftwr White/Solar Red;New;;243568;Midfielder;14;98;82
Adams, Ché;Scotland;Switzerland;Group Stage;2;13;89;1;0;0;0;1996-07-13;Nike;Mercurial Vapor XV Elite;Pink Blast/Volt/Gridiron;New;;200439;Forward;10;98;94
Tierney, Kieran;Scotland;Switzerland;Group Stage;2;13;61;1;0;0;0;1997-06-05;adidas;X Crazyfast.1;Solar Red/White/Team Solar Yellow;New;;192895;Defender;6;98;64
Vargas, Rubén;Switzerland;Scotland;Group Stage;2;13;75;1;0;0;0;1998-08-05;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;429534;Forward;17;98;78
Xhaka, Granit;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;0;1992-09-27;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;84450;Midfielder;10;98;98
Rieder, Fabian;Switzerland;Scotland;Group Stage;2;13;15;0;1;0;0;2002-02-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;449787;Midfielder;26;98;20
Sierro, Vincent;Switzerland;Scotland;Group Stage;2;13;15;0;1;0;0;1995-10-08;adidas;Nemeziz .1;White/Screaming Orange/Core Black;New;;209208;Midfielder;16;98;20
Widmer, Silvan;Switzerland;Scotland;Group Stage;2;13;86;1;0;0;0;1993-03-05;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;120781;Midfielder;3;98;89
Ndoye, Dan;Switzerland;Scotland;Group Stage;2;13;86;1;0;0;0;2000-10-25;Nike;Mercurial Vapor XIV Elite;Grey/Blackened Blue;New;;456512;Forward;19;98;89
Freuler, Remo;Switzerland;Scotland;Group Stage;2;13;75;1;0;0;0;1992-04-15;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;89076;Midfielder;8;98;78
Schär, Fabian;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;0;1991-12-20;Puma;Ultra Play;Sun Stream/Puma Black/Sunset Glow;New;;119471;Defender;22;98;98
Shaqiri, Xherdan;Switzerland;Scotland;Group Stage;2;13;60;1;0;1;0;1991-10-10;Nike;Phantom GX II Elite;Sunset Pulse/Black;New;;68312;Forward;23;98;63
Sommer, Yann;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;0;1988-12-17;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;34683;Goalkeeper;1;98;98
Rodríguez, Ricardo;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;0;1992-08-25;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;69305;Defender;13;98;98
Embolo, Breel;Switzerland;Scotland;Group Stage;2;13;30;0;1;0;0;1997-02-14;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;181007;Forward;7;98;35
Amdouni, Zeki;Switzerland;Scotland;Group Stage;2;13;4;0;1;0;0;2000-12-04;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;492831;Forward;25;98;9
Stergiou, Leonidas;Switzerland;Scotland;Group Stage;2;13;4;0;1;0;0;2002-03-03;Puma;Ultra Play;Sun Stream/Puma Black/Sunset Glow;New;;476824;Defender;2;98;9
Akanji, Manuel;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;1;1995-07-19;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;211975;Defender;5;98;98
Aebischer, Michel;Switzerland;Scotland;Group Stage;2;13;90;1;0;0;0;1997-01-06;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;235865;Midfielder;20;98;98
Can, Emre;Germany;Hungary;Group Stage;2;14;18;0;1;0;0;1994-01-12;Nike;Mercurial Superfly IX Elite;Lemonade/Black;New;;112338;Midfielder;25;96;23
Füllkrug, Niclas;Germany;Hungary;Group Stage;2;14;32;0;1;0;0;1993-02-09;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;91889;Forward;9;96;36
Havertz, Kai;Germany;Hungary;Group Stage;2;14;58;1;0;0;0;1999-06-11;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;219847;Forward;7;96;61
Neuer, Manuel;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1986-03-27;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;20388;Goalkeeper;1;96;96
Gündogan, Ilkay;Germany;Hungary;Group Stage;2;14;84;1;0;1;1;1990-10-24;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;59859;Midfielder;21;96;87
Wirtz, Florian;Germany;Hungary;Group Stage;2;14;58;1;0;0;0;2003-05-03;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;494595;Midfielder;17;96;61
Undav, Deniz;Germany;Hungary;Group Stage;2;14;6;0;1;0;0;1996-07-19;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;450434;Forward;26;96;10
Kroos, Toni;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1990-01-04;adidas;adiPure 11Pro;Cloud White/Core Black/Gold Metallic;New;;44989;Midfielder;8;96;96
Führich, Chris;Germany;Hungary;Group Stage;2;14;18;0;1;0;0;1998-01-09;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;442218;Midfielder;11;96;22
Andrich, Robert;Germany;Hungary;Group Stage;2;14;72;1;0;0;0;1994-09-22;Puma;Ultra Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;147488;Midfielder;23;96;74
Musiala, Jamal;Germany;Hungary;Group Stage;2;14;72;1;0;1;0;2003-02-26;Nike;Tiempo Legend X Elite;Pink Foam/Black;New;;244857;Midfielder;10;96;74
Kimmich, Joshua;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1995-02-08;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;165687;Defender;6;96;96
Tah, Jonathan;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1996-02-11;adidas;Copa Pure 2;Ftwr White/Lucid Blue/Solar Red;New;;164454;Defender;4;96;96
Mittelstädt, Maximilian;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1997-03-18;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;204335;Defender;18;96;96
Rüdiger, Antonio;Germany;Hungary;Group Stage;2;14;90;1;0;0;0;1993-03-03;Under Armour;Clone Magnetico Pro 3.0;Celeste/Celeste/Vapor Green;New;;102380;Defender;2;96;96
Sané, Leroy;Germany;Hungary;Group Stage;2;14;32;0;1;0;0;1996-01-11;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;182156;Forward;19;96;36
Csoboth, Kevin;Hungary;Germany;Group Stage;2;14;3;0;1;0;0;2000-06-20;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;437962;Forward;23;96;7
Ádám, Martin;Hungary;Germany;Group Stage;2;14;15;0;1;0;0;1994-11-06;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;218722;Forward;9;96;19
Szoboszlai, Dominik;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;2000-10-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;424876;Forward;10;96;96
Kerkez, Milos;Hungary;Germany;Group Stage;2;14;75;1;0;0;0;2003-11-07;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;544877;Midfielder;11;96;78
Schäfer, András;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;1999-04-13;adidas;X Crazyfast+;Team Solar Yellow/Core Black/White;New;;457734;Midfielder;13;96;96
Orbán, Willi;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;1992-11-03;Nike;Tiempo Legend X Elite;Lemonade/Black/Metallic Gold Coin;New;;101601;Defender;6;96;96
Fiola, Attila;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;1990-02-17;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;80900;Defender;5;96;96
Ádám Nagy;Hungary;Germany;Group Stage;2;14;64;1;0;0;0;1995-06-17;Mizuno;Morelia Neo IV;White/Radiant Red/Hot Coral;New;;199104;Midfielder;8;96;67
Gulácsi, Péter;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;1990-05-06;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;;46506;Goalkeeper;1;96;96
Kleinheisler, László;Hungary;Germany;Group Stage;2;14;26;0;1;0;0;1994-04-08;Nike;Mercurial Vapor XI;Black/White/Electric Green;Old;;167764;Midfielder;15;96;30
Sallai, Roland;Hungary;Germany;Group Stage;2;14;87;1;0;0;0;1997-05-22;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;197109;Forward;20;96;90
Gazdag, Dániel;Hungary;Germany;Group Stage;2;14;3;0;1;0;0;1996-03-02;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;173787;Midfielder;16;96;7
Varga, Barnabás;Hungary;Germany;Group Stage;2;14;87;1;0;0;0;1994-10-25;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;240804;Forward;19;96;90
Zsolt Nagy;Hungary;Germany;Group Stage;2;14;15;0;1;0;0;1993-05-25;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;196842;Defender;18;96;19
Dárdai, Márton;Hungary;Germany;Group Stage;2;14;90;1;0;0;0;2002-02-12;Nike;Mercurial Superfly IX Elite;Lemonade/Black;New;;470300;Defender;24;96;96
Bolla, Bendegúz;Hungary;Germany;Group Stage;2;14;75;1;0;0;0;1999-11-22;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;431960;Midfielder;14;96;78
Petkovic, Bruno;Croatia;Albania;Group Stage;2;15;69;1;0;0;0;1994-09-16;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;152918;Forward;17;100;71
Majer, Lovro;Croatia;Albania;Group Stage;2;15;45;1;0;0;0;1998-01-17;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;229046;Forward;7;100;47
Kramaric, Andrej;Croatia;Albania;Group Stage;2;15;85;1;0;1;1;1991-06-19;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;68582;Forward;9;100;86
Sutalo, Josip;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;2000-02-28;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;240992;Defender;6;100;100
Juranovic, Josip;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;1995-08-16;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;Laceless;210791;Defender;22;100;100
Sosa, Borna;Croatia;Albania;Group Stage;2;15;6;0;1;0;0;1998-01-21;adidas;Copa Pure 2+;Ftwr White/Lucid Blue/Solar Red;New;;218364;Defender;19;100;15
Modric, Luka;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;1985-09-09;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;37055;Midfielder;10;100;100
Budimir, Ante;Croatia;Albania;Group Stage;2;15;21;0;1;0;0;1991-07-22;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;;94273;Forward;16;100;30
Perisic, Ivan;Croatia;Albania;Group Stage;2;15;84;1;0;0;0;1989-02-02;Puma;Future 7 Ultimate;Sunset Glow/Puma Black/Sun Stream;New;Switched to Puma Future 7 Ultimate (Puma White/Puma Black/Poison Pink) after HT;45034;Defender;14;100;86
Baturina, Martin;Croatia;Albania;Group Stage;2;15;5;0;1;0;0;2003-02-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;522476;Midfielder;26;100;15
Gvardiol, Josko;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;2002-01-23;adidas;Copa Pure 2+;Ftwr White/Lucid Blue/Solar Red;New;;477424;Defender;4;100;100
Kovacic, Mateo;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;1994-05-06;Puma;King Ultimate;Sun Stream/Puma Black/Sunset Glow;New;;91651;Midfielder;8;100;100
Livakovic, Dominik;Croatia;Albania;Group Stage;2;15;90;1;0;0;0;1995-01-09;adidas;F50 Elite;Ftwr White/Solar Red/Lucid Blue;New;;198534;Goalkeeper;1;100;100
Brozovic, Marcelo;Croatia;Albania;Group Stage;2;15;45;1;0;0;0;1992-11-16;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;94425;Midfielder;11;100;47
Mario Pasalic;Croatia;Albania;Group Stage;2;15;45;0;1;0;0;1995-02-09;adidas;Predator Elite;Lucid Blue/Ftwr White/Solar Red;New;Laceless;164570;Midfielder;15;100;54
Sucic, Luka;Croatia;Albania;Group Stage;2;15;45;0;1;0;0;2002-09-08;Nike;Mercurial Vapor XV Elite;Lemonade/Black;New;;464166;Midfielder;25;100;54
Seferi, Taulant;Albania;Croatia;Group Stage;2;15;26;0;1;0;0;1996-11-15;Nike;Mercurial Vapor XV Elite;Pink Foam/Black;New;;175640;Forward;15;100;35
Gjasula, Klaus;Albania;Croatia;Group Stage;2;15;18;0;1;1/OG;0;1989-12-14;adidas;Speedportal .1;Team Shock Pink/White/Core Black;New;;193830;Midfielder;8;100;27
